Nº Código,Alíc.,Mínimo,Actividad ID,Descripción,Rama ID,Rama,Categoria ID,Categoria
514931,7.00,455.00,1445,Venta al por mayor de abonos y plaguicidas,19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
514933,7.00,455.00,1447,Venta al por mayor de artículos de plástico,19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
514934,7.00,455.00,1448,Venta al por mayor de Bolsas y/o productos de Polietileno,19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
514199.1,4.00,455.00,1443,"Venta al por mayor de combustibles y lubricantes, excepto para automotores y gas en garrafas",19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
514110.1,4.00,455.00,1440,Venta al por mayor de combustibles y lubricantes para automotores,19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
513310.1,7.00,955.00,1436,Venta al por mayor de productos farmacéuticos y veterinarios,19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
515160,4.00,455.00,1439,Venta al por mayor de sustancias químicas industriales y materias primas para la elaboración de plásticos,19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
513310.2,7.60,1255.00,1437,Venta por mayor de productos farmacéuticos y veterinarios (medicamentos),19,ACTIVIDADES COMERCIALES,126,"Depósito, distribución y venta por mayor de sustancias químicas industriales; productos químicos y derivados del petróleo"
523610,7.00,455.00,1549,"Venta al por menor de aberturas (puertas, ventanas, armazones)",19,ACTIVIDADES COMERCIALES,136,"Depósito, distribución y venta por menor de materiales para la construcción"
523630,7.00,455.00,1550,Venta al por menor de artículos de ferretería. Ferretería,19,ACTIVIDADES COMERCIALES,136,"Depósito, distribución y venta por menor de materiales para la construcción"
523670,7.00,455.00,1553,Venta al por menor de artículos de revestimiento y decoración,19,ACTIVIDADES COMERCIALES,136,"Depósito, distribución y venta por menor de materiales para la construcción"
523690.2,7.00,455.00,1555,Venta al por menor de materiales de construcción,19,ACTIVIDADES COMERCIALES,136,"Depósito, distribución y venta por menor de materiales para la construcción"
523640,7.00,455.00,1551,"Venta al por menor de pinturas, barnices, lacas, esmaltes y artículos de pinturería",19,ACTIVIDADES COMERCIALES,136,"Depósito, distribución y venta por menor de materiales para la construcción"
523690.1,7.00,455.00,1554,Venta al por menor de sanitarios,19,ACTIVIDADES COMERCIALES,136,"Depósito, distribución y venta por menor de materiales para la construcción"
523660,7.00,455.00,1552,"Venta al por menor de vidrios, cristales, espejos, mamparas y cerramientos (incluye su colocación). Vidrierías",19,ACTIVIDADES COMERCIALES,136,"Depósito, distribución y venta por menor de materiales para la construcción"
513212,7.00,455.00,1433,Distribución por mayor de diarios y revistas,19,ACTIVIDADES COMERCIALES,125,"Depósito y venta por mayor de madera, papel y derivados"
513223,7.00,455.00,1435,Venta al por mayor de artículos de librería y papelería,19,ACTIVIDADES COMERCIALES,125,"Depósito y venta por mayor de madera, papel y derivados"
513221,7.00,455.00,1434,Venta al por mayor de papel y productos de papel y cartón,19,ACTIVIDADES COMERCIALES,125,"Depósito y venta por mayor de madera, papel y derivados"
513211.1,7.00,455.00,1431,Venta al por mayor de textos nuevos,19,ACTIVIDADES COMERCIALES,125,"Depósito y venta por mayor de madera, papel y derivados"
513211.2,7.00,455.00,1432,Venta al por mayor de textos usados,19,ACTIVIDADES COMERCIALES,125,"Depósito y venta por mayor de madera, papel y derivados"
513149,7.00,705.00,1430,Venta al por mayor de artículos de marroquinería,19,ACTIVIDADES COMERCIALES,124,"Depósito y venta por mayor de textiles, prendas de vestir y cuero; accesorios de vestir"
513122,7.00,705.00,1425,"Venta al por mayor de artículos de mercería, medias y artículos de punto",19,ACTIVIDADES COMERCIALES,124,"Depósito y venta por mayor de textiles, prendas de vestir y cuero; accesorios de vestir"
513115,7.00,705.00,1423,"Venta al por mayor de artículos de tapicería, tapices y alfombras",19,ACTIVIDADES COMERCIALES,124,"Depósito y venta por mayor de textiles, prendas de vestir y cuero; accesorios de vestir"
513130,7.00,705.00,1428,Venta al por mayor de calzados (incluye zapatos y zapatillas),19,ACTIVIDADES COMERCIALES,124,"Depósito y venta por mayor de textiles, prendas de vestir y cuero; accesorios de vestir"
513111,7.00,705.00,1420,"Venta al por mayor de fibras, hilados e hilos",19,ACTIVIDADES COMERCIALES,124,"Depósito y venta por mayor de textiles, prendas de vestir y cuero; accesorios de vestir"
513114,7.00,705.00,1422,Venta al por mayor de mantelería y ropa de cama,19,ACTIVIDADES COMERCIALES,124,"Depósito y venta por mayor de textiles, prendas de vestir y cuero; accesorios de vestir"
513141,8.40,955.00,1429,Venta al por mayor de pieles y cueros,19,ACTIVIDADES COMERCIALES,124,"Depósito y venta por mayor de textiles, prendas de vestir y cuero; accesorios de vestir"
513121,8.40,955.00,1424,Venta al por mayor de prendas de vestir de cuero (excepto calzado),19,ACTIVIDADES COMERCIALES,124,"Depósito y venta por mayor de textiles, prendas de vestir y cuero; accesorios de vestir"
513129,7.00,705.00,1427,Venta al por mayor de prendas de vestir (excepto de cuero y calzado),19,ACTIVIDADES COMERCIALES,124,"Depósito y venta por mayor de textiles, prendas de vestir y cuero; accesorios de vestir"
513112,7.00,705.00,1421,Venta al por mayor de tejidos,19,ACTIVIDADES COMERCIALES,124,"Depósito y venta por mayor de textiles, prendas de vestir y cuero; accesorios de vestir"
513123,7.00,705.00,1426,Venta de pañales por mayor,19,ACTIVIDADES COMERCIALES,124,"Depósito y venta por mayor de textiles, prendas de vestir y cuero; accesorios de vestir"
512299.2,7.00,455.00,1410,Distribución y venta al por mayor de alimentos y suplementos dietarios.,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512250,7.00,455.00,1401,Distribución y venta al por mayor de pan y productos de panificación,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512279,7.00,455.00,1406,Distribución y venta al por mayor de productos y subproductos de molinería,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512299.1,7.00,455.00,1409,"Fraccionamiento, distribución y venta al por mayor de encurtidos",19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512299.5,7.00,455.00,1413,"Fraccionamiento, distribución y venta por mayor de productos alimentarios n.c.p.",19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512271,7.00,455.00,1403,Fraccionamiento y venta al por mayor de azúcar,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512212.2,7.00,455.00,1396,Queserías. Venta al por mayor de quesos,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512272,7.00,455.00,1404,"Venta al por mayor de aceites y grasas comestibles, vinagres",19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512229,7.00,455.00,1398,Venta al por mayor de aves y huevos,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512273,7.00,455.00,1405,"Venta al por mayor de café, té y yerba mate (incluye Fraccionamiento, y venta al por mayor de sal), (Fraccionamiento, y venta al por mayor de té y especias)",19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512260,7.00,455.00,1402,"Venta al por mayor de chocolate y sus preparados, caramelos y otros derivados del azúcar",19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512212.1,7.00,455.00,1395,"Venta al por mayor de fiambres, embutidos y chacinados",19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512240,7.00,5110.00,1400,"Venta al por mayor de frutas, hortalizas y verduras en el Mercado de Abasto",19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512121,7.00,455.00,1392,"Venta al por mayor de lanas, cueros y frutos del país",19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512291,7.00,455.00,1407,Venta al por mayor de legumbres y cereales,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512129,7.00,455.00,1393,"Venta al por mayor de materias primas pecuarias, incluye animales vivos",19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512230,7.00,575.00,1399,Venta al por mayor de pescados y productos marinos,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512211,7.00,455.00,1394,Venta al por mayor de productos lácteos (excepto quesos),19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512299.3,7.00,455.00,1411,"Venta, distribución y fraccionamiento al por mayor de productos dietéticos.",19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512111,7.00,455.00,1390,Venta por mayor de cereales,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512292,7.00,455.00,1408,Venta por mayor de productos para animales incluidos medicamentos y mascotas,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512112,7.00,455.00,1391,Venta por mayor de semillas,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512221,7.00,455.00,1397,Venta y abastecimiento de carne y derivados,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512299.4,7.00,455.00,1412,Venta y distribución al por mayor de otros productos y subproductos ganaderos y agrícolas,19,ACTIVIDADES COMERCIALES,122,"Fraccionamiento, venta al por mayor de materias primas agropecuarias, de animales vivos y alimentos (excepto comisión o consignación)"
512330,10.50,11260.00,1418,Expendio de bebidas alcohólicas: entre las 24 Hs. y las 07 del día siguiente.,19,ACTIVIDADES COMERCIALES,123,Fraccionamiento y venta por mayor de bebidas y tabacos
512319,7.00,455.00,1416,"Fraccionamiento, distribución y venta por mayor de alcoholes",19,ACTIVIDADES COMERCIALES,123,Fraccionamiento y venta por mayor de bebidas y tabacos
512312,7.90,455.00,1415,Venta al por mayor de bebidas alcohólicas y energizantes,19,ACTIVIDADES COMERCIALES,123,Fraccionamiento y venta por mayor de bebidas y tabacos
512320,7.00,575.00,1417,"Venta al por mayor de bebidas no alcohólicas, aguas, gaseosas",19,ACTIVIDADES COMERCIALES,123,Fraccionamiento y venta por mayor de bebidas y tabacos
512400,26.30,1390.00,1419,Venta al por mayor de tabacos y cigarrillos,19,ACTIVIDADES COMERCIALES,123,Fraccionamiento y venta por mayor de bebidas y tabacos
512311,7.00,455.00,1414,Venta al por mayor de vinos sin fraccionamiento,19,ACTIVIDADES COMERCIALES,123,Fraccionamiento y venta por mayor de bebidas y tabacos
501210.2,7.00,9025.00,1487,Venta al por mayor de automotores nuevos y  usados,19,ACTIVIDADES COMERCIALES,131,"Venta al por mayor de automotores, motonetas y motocicletas"
501110.2,10.50,1140.00,1486,Venta al por mayor de motocicletas nuevas y usadas,19,ACTIVIDADES COMERCIALES,131,"Venta al por mayor de automotores, motonetas y motocicletas"
511919.1,19.00,705.00,1380,Venta al por mayor en comisión o consignación de alimentos y bebidas no alcohólicas,19,ACTIVIDADES COMERCIALES,121,Venta al por mayor en comisión o consignación
511919.2,19.00,705.00,1381,Venta al por mayor en comisión o consignación de bebidas alcohólicas,19,ACTIVIDADES COMERCIALES,121,Venta al por mayor en comisión o consignación
511940.1,17.40,1140.00,1383,"Venta al por mayor en comisión o consignación de energía eléctrica, gas y combustibles",19,ACTIVIDADES COMERCIALES,121,Venta al por mayor en comisión o consignación
511990.5,17.40,1225.00,1387,"Venta al por mayor en comisión o consignación de frutas, hortalizas y verduras en el Mercado de Abasto",19,ACTIVIDADES COMERCIALES,121,Venta al por mayor en comisión o consignación
511990.4,19.00,455.00,1386,Venta al por mayor en comisión o consignación de mercaderías n.c.p.,19,ACTIVIDADES COMERCIALES,121,Venta al por mayor en comisión o consignación
511990.1,20.80,455.00,1384,Venta al por mayor en comisión o consignación de productos medicinales,19,ACTIVIDADES COMERCIALES,121,Venta al por mayor en comisión o consignación
511919.3,19.00,705.00,1382,Venta al por mayor en comisión o consignación de tabaco,19,ACTIVIDADES COMERCIALES,121,Venta al por mayor en comisión o consignación
511990.7,43.00,2920.00,1389,Venta al por mayor  por contrato de concesión n.c.p.,19,ACTIVIDADES COMERCIALES,121,Venta al por mayor en comisión o consignación
511990.3,19.00,1140.00,1385,Venta de automotores nuevos por comisiones o consignaciones. Incluye planes de ahorro,19,ACTIVIDADES COMERCIALES,121,Venta al por mayor en comisión o consignación
511990.6,19.00,1140.00,1388,Venta de automotores usados por comisiones o consignaciones. Incluye planes de ahorro,19,ACTIVIDADES COMERCIALES,121,Venta al por mayor en comisión o consignación
511120,17.40,705.00,1379,"Venta por cuenta y orden de terceros que se ejerza percibiendo comisiones, bonificaciones, porcentajes y/u otras retribuciones análogas – Excepto concesión de vehículos.",19,ACTIVIDADES COMERCIALES,121,Venta al por mayor en comisión o consignación
523952.1,15.80,955.00,1596,Activación de líneas teléfonos celulares,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523999.2,7.00,575.00,1610,Artesanos. Venta al por menor de artesanías,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
524990,8.40,575.00,1626,Artículos usados o reacondicionados,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523960.1,7.00,575.00,1598,Carbón y leña,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523960,7.00,1140.00,1597,Combustibles derivados del petróleo y Gas Natural Comprimido,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523963,7.40,1140.00,1600,"Combustibles derivados del petróleo y Gas Natural Comprimido, en estaciones de servicio y otras actividades reguladas por la Ordenanza Nº 9.748/97 y sus modificatorias como localizadas en zonas determinadas por el artículo 10° de dicha ordenanza",19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523590,7.00,575.00,1574,Compra y venta de artículos del hogar y muebles,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523720.2,15.80,2260.00,1580,Compra y venta de oro,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
525000,7.00,575.00,1627,Desarmaderos de autos y venta al por menor de sus partes. Repuestos y accesorios usados,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
525900.1,8.40,955.00,1630,Pirotecnia por menor,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523966,7.00,575.00,1602,Recarga y venta al por menor de garrafas y combustibles sólidos y líquidos,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523965,7.00,575.00,1601,Recarga y venta al por menor de gas carbónico p/matafuegos y gasificadores,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
525901,8.40,955.00,1633,Sex shop (conforme a la tipificación que fije el DEM),19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
503100.2,7.00,705.00,1557,"Venta al por mayor de repuestos y accesorios para vehículos automotores, incluido equipos de G.N.C.",19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523999.9,7.00,575.00,1617,Venta al por menor de alarmas y otros artículos de seguridad,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
524910,10.50,575.00,1625,"Venta al por menor de antigüedades, objetos de arte, cuadros, marcos, filatelia y numismática",19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523710.1,8.40,575.00,1576,"Venta al por menor de aparatos fotográficos, artículos de fotografía",19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523560.3,7.00,575.00,1572,"Venta al por menor de aparatos para videojuegos; cassettes, DVD; reproductores; videograbadoras y similares",19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523530,7.00,575.00,1567,Venta al por menor de aparatos y artefactos eléctricos para la iluminación,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523942,8.40,575.00,1592,Venta al por menor de armas y artículos de cuchillería. Armería. Cuchillería. Venta al por menor de artículos de caza y pesca,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523540,7.00,575.00,1568,Venta al por menor de artículos de bazar y menaje,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
524000,7.00,575.00,1623,Venta al por menor de artículos de camping,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523510,7.00,575.00,1565,Venta al por menor de artículos de caña y mimbre. Venta de muebles. Mueblería,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523930.2,7.00,575.00,1591,Venta al por menor de artículos de cotillón,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523550,7.40,575.00,1569,Venta al por menor de artículos del hogar,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523830,7.00,575.00,1583,"Venta al por menor de artículos de librería, papelería y para oficina",19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523620,7.00,575.00,1575,Venta al por menor de artículos de madera n.c.p.,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523710.2,7.00,575.00,1577,Venta al por menor de artículos de óptica y ortopedia,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523120,7.90,575.00,1563,Venta al por menor de artículos de perfumería y cosmética,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523999.6,7.00,575.00,1614,Venta al por menor de artículos de plástico,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523999.13,7.00,575.00,1621,Venta al por menor de artículos de santería,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523952,7.00,575.00,1595,Venta al por menor de artículos de telefonía - celulares y sus accesorios,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523999.11,7.00,575.00,1619,"Venta al por menor de artículos electrónicos, sus repuestos y accesorios (excepto del hogar)",19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
525900,7.40,575.00,1629,Venta al por menor de artículos n.c.p.,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523999.7,7.00,575.00,1615,Venta al por menor de artículos para publicidad,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523999.3,7.00,575.00,1611,Venta al por menor de artículos para regalos. Regalería,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523920,7.00,575.00,1589,"Venta al por menor de artículos, productos y insumos de limpieza",19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523999.4,7.00,575.00,1612,Venta al por menor de artículos regionales,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
525900.2,7.40,705.00,1631,Venta al por menor de artículos varios. Polirubros,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523999.5,7.00,575.00,1613,"Venta al por menor de bicicletas y rodados infantiles, sus repuestos y accesorios",19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523999.14,7.00,575.00,1622,Venta al por menor de bolsas y/o productos de polietileno,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
503210,7.00,575.00,1561,Venta al por menor de cámaras y cubiertas.,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523520,7.00,575.00,1566,"Venta al por menor de colchones, almohadas y accesorios",19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523820,7.00,575.00,1582,Venta al por menor de diarios y revistas,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523560.2,7.00,575.00,1571,"Venta al por menor de discos, cassettes, DVD, DVC, videos juegos y similares. Disquerías",19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523993,7.00,575.00,1608,"Venta al por menor de equipo profesional, científico e instrumentos de medida y de control",19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
523911,7.00,575.00,1585,Venta al por menor de flores y plantas naturales y artificiales,19,ACTIVIDADES COMERCIALES,137,Venta al por menor de artículos diversos
